step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
167,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.433,0.433,"('D', 'D')",2.0,0,0.11,3.82,,
168,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4308,0.4308,"('D', 'C')",5.0,0,0.11,3.85,,
169,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.4286,0.4286,"('C', 'D')",5.0,0,0.1,3.84,,
170,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.4265,0.4265,"('C', 'D')",5.0,0,0.1,3.87,,
171,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4244,0.4244,"('D', 'D')",2.0,0,0.1,3.84,,
172,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4223,0.4223,"('D', 'C')",5.0,0,0.1,3.84,,
173,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.4201,0.4201,"('C', 'D')",5.0,0,0.1,3.84,,
174,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.418,0.418,"('C', 'D')",5.0,0,0.1,3.84,,
175,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4159,0.4159,"('D', 'D')",2.0,0,0.1,3.84,,
176,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4139,0.4139,"('D', 'C')",5.0,0,0.1,3.87,,
177,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4118,0.4118,"('D', 'D')",2.0,0,0.1,3.87,,
178,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4097,0.4097,"('D', 'D')",2.0,0,0.1,3.84,,
179,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.4077,0.4077,"('D', 'C')",5.0,0,0.1,3.84,,
180,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4057,0.4057,"('D', 'D')",2.0,0,0.09,3.8,,
181,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4036,0.4036,"('D', 'D')",2.0,0,0.09,3.77,,
182,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.4016,0.4016,"('D', 'D')",2.0,0,0.09,3.74,,
