episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_extraction,stock_level,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
102,0.2,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5997,0.5997,0.5997,0.5997,5,0,-2.0,0,0.66,-1.57
103,0.2,0,0,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5967,0.5967,0.5967,0.5967,4,0,-2.0,1,0.66,-1.63
104,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5937,0.5937,0.5937,0.5937,0,2,0.0,1,0.66,-1.66
105,0.2,1,2,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5908,0.5908,0.5908,0.5908,5,0,-2.0,0,0.65,-1.7
106,0.2,0,2,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5878,0.5878,0.5878,0.5878,2,0,-2.0,1,0.66,-1.7
107,0.2,2,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5849,0.5849,0.5849,0.5849,2,0,-2.0,1,0.67,-1.7
108,0.2,0,1,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.582,0.582,0.582,0.582,1,1,-2.0,1,0.68,-1.7
109,0.2,2,2,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.579,0.579,0.579,0.579,6,0,-2.0,0,0.68,-1.7
110,0.2,0,2,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5762,0.5762,0.5762,0.5762,4,0,-2.0,1,0.69,-1.7
111,0.2,1,2,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5733,0.5733,0.5733,0.5733,3,0,-2.0,1,0.69,-1.7
